Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k),Surface air pressure (Pa),Density at hub height (kg/m^3)
1/1/2009 0:00,0,225.76575,1.072,275.715,101703.492,1.256
1/1/2009 1:00,0,215.41825,1.083,275.9485,101690.446,1.2615
1/1/2009 2:00,0,218.40175,1.228,275.9035,101668.472,1.26325
1/1/2009 3:00,0,217.736,1.1795,275.877,101654.052,1.26125
1/1/2009 4:00,0,222.63525,1.259,275.764,101650.848,1.261
1/1/2009 5:00,0,231.154,1.073,275.7335,101653.364,1.25925
1/1/2009 6:00,0,247.9485,1.43,276.03925,101647.872,1.25775
1/1/2009 7:00,0,247.82675,1.46,276.32925,101653.826,1.25775
1/1/2009 8:00,0,252.189,1.74975,276.8045,101671.676,1.2575
1/1/2009 9:00,0,242.00425,1.735,277.17475,101680.37,1.257
1/1/2009 10:00,0,244.8865,1.99825,277.7535,101679.228,1.2555
1/1/2009 11:00,0,244.204,1.748,278.40475,101654.966,1.25375
1/1/2009 12:00,0,204.25425,0.938,279.7695,101618.342,1.25275
1/1/2009 13:00,0,183.371,0.98225,281.70275,101553.108,1.24575
1/1/2009 14:00,0,156.30425,1.5315,282.7015,101466.136,1.23975
1/1/2009 15:00,0.012,143.4955,2.249,282.613,101406.62,1.23925
1/1/2009 16:00,0.05175,144.864,2.73075,281.51125,101353.518,1.241
1/1/2009 17:00,0.3775,144.59775,3.54225,279.3325,101323.306,1.24375
1/1/2009 18:00,0.19225,157.831,3.2605,278.518,101284.168,1.2445
1/1/2009 19:00,0.07025,167.896,2.92175,278.275,101248.458,1.242
1/1/2009 20:00,0.1595,199.481,3.14925,278.2935,101239.99,1.23675
1/1/2009 21:00,0.96375,215.98025,4.23925,278.1985,101232.438,1.235
1/1/2009 22:00,1.22,216.971,4.49325,278.1445,101213.21,1.237
1/1/2009 23:00,1.54725,220.6305,4.73675,278.36275,101188.49,1.2365
1/2/2009 0:00,1.808,207.09475,4.91925,278.475,101185.058,1.241
1/2/2009 1:00,1.19325,208.25175,4.46975,277.72475,101176.816,1.2365
1/2/2009 2:00,0.82075,210.08775,4.0715,278.603,101144.772,1.23675
1/2/2009 3:00,0.10025,204.726,3.03325,279.24925,101109.526,1.2325
1/2/2009 4:00,0.351,181.589,3.5145,279.46225,101100.828,1.2345
1/2/2009 5:00,0.9445,180.74725,4.26225,279.60325,101070.84,1.2345
1/2/2009 6:00,1.83725,170.071,4.9725,279.6955,101019.34,1.234
1/2/2009 7:00,4.98425,165.12625,6.725,279.52075,100941.976,1.23
1/2/2009 8:00,6.01875,169.443,7.154,280.50875,100926.182,1.22775
1/2/2009 9:00,8.03675,167.85525,7.89525,281.2345,100879.034,1.232
1/2/2009 10:00,7.52675,176.853,7.74075,282.2415,100851.566,1.22225
1/2/2009 11:00,5.67625,176.848,7.03375,282.12175,100812.196,1.224
1/2/2009 12:00,5.775,175.67975,7.04325,281.9905,100764.358,1.22325
1/2/2009 13:00,5.23675,199.885,6.81125,283.18,100747.652,1.22075
1/2/2009 14:00,9.1945,232.02925,8.32725,285.08125,100686.306,1.21725
1/2/2009 15:00,9.48875,245.79875,8.4365,286.01375,100660.442,1.2135
1/2/2009 16:00,10.58375,252.50975,8.85325,285.37275,100654.492,1.21325
1/2/2009 17:00,14.29025,266.018,10.359,283.13275,100672.804,1.21675
1/2/2009 18:00,15.1865,274.96125,11.0715,282.6465,100708.512,1.221
1/2/2009 19:00,7.38675,292.49,7.6785,281.72375,100763.674,1.223
1/2/2009 20:00,10.29125,324.56075,8.68475,280.721,100844.928,1.22575
1/2/2009 21:00,5.90025,320.97075,7.07375,281.867,100897.342,1.23125
1/2/2009 22:00,4.35175,340.86,6.226,281.7085,100931.906,1.23525
1/2/2009 23:00,4.68675,355.585,6.58075,280.592,100988.212,1.23875
1/3/2009 0:00,6.45325,180.0665,7.26075,277.914,101025.524,1.23875
1/3/2009 1:00,9.957,92.9935,8.52775,276.87075,101067.408,1.243
1/3/2009 2:00,15.96475,353.306,13.301,277.51875,101069.238,1.2455
1/3/2009 3:00,15.999,269.14125,12.84575,276.6345,101088.698,1.24675
1/3/2009 4:00,14.17725,349.289,10.21675,274.5495,101104.718,1.24775
1/3/2009 5:00,4.9685,352.813,6.6775,274.216,101121.88,1.2505
1/3/2009 6:00,6.3675,8.12775,7.22525,273.7775,101153.702,1.2535
1/3/2009 7:00,15.727,355.79575,11.74825,273.5325,101151.868,1.25525
1/3/2009 8:00,16,349.43725,14.53525,274.05325,101170.18,1.25475
1/3/2009 9:00,15.86225,350.55775,12.08625,277.5975,101216.872,1.256
1/3/2009 10:00,15.7265,351.6235,11.84625,279.8915,101220.766,1.249
1/3/2009 11:00,14.516,350.64575,10.43275,281.191,101212.296,1.244
1/3/2009 12:00,14.22,356.94375,10.26975,282.42525,101215.73,1.239
1/3/2009 13:00,13.76975,356.17775,10.0455,283.39,101193.984,1.23475
1/3/2009 14:00,13.1455,355.16,9.74475,283.78725,101146.832,1.23175
1/3/2009 15:00,10.22325,355.171,8.64925,283.6865,101136.99,1.23075
1/3/2009 16:00,7.9,356.18425,7.835,282.0005,101132.64,1.23075
1/3/2009 17:00,13.8475,356.68175,10.08975,278.533,101153.47,1.23275
1/3/2009 18:00,8.2895,341.9305,7.93425,277.223,101169.49,1.23525
1/3/2009 19:00,15.41175,334.42525,11.2775,277.1115,101172.012,1.23625
1/3/2009 20:00,12.08075,325.60925,9.34775,277.814,101211.61,1.237
1/3/2009 21:00,10.38275,319.88125,8.727,277.3555,101232.436,1.23625
1/3/2009 22:00,5.92275,324.32525,7.089,275.97475,101275.7,1.2375
1/3/2009 23:00,4.63625,327.98425,6.54575,275.3455,101305.684,1.24025
1/4/2009 0:00,3.91825,334.14625,6.21975,274.704,101353.292,1.24475
1/4/2009 1:00,5.97525,350.62875,7.0885,274.36725,101365.194,1.249
1/4/2009 2:00,11.38075,350.0635,8.99875,273.68125,101354.204,1.252
1/4/2009 3:00,12.801,351.728,9.56075,273.319,101368.856,1.2555
1/4/2009 4:00,11.10025,90.37425,8.882,272.8085,101401.36,1.26025
1/4/2009 5:00,10.80925,5.12375,8.778,272.33075,101438.436,1.26225
1/4/2009 6:00,10.704,6.3295,8.74,272.0515,101458.352,1.26275
1/4/2009 7:00,9.45375,0.93475,8.30725,272.08025,101515.8,1.26625
1/4/2009 8:00,6.95,0.9655,7.414,273.00075,101592.02,1.26975
1/4/2009 9:00,3.461,2.37975,5.907,274.71675,101643.296,1.27275
1/4/2009 10:00,0.3635,6.42675,3.4215,276.22,101687.47,1.2715
1/4/2009 11:00,0.40425,91.17225,3.5265,277.57825,101694.336,1.266
1/4/2009 12:00,0.15075,3.86275,3.04425,278.848,101715.166,1.26075
1/4/2009 13:00,0.1015,8.491,2.948,279.975,101701.66,1.25525
1/4/2009 14:00,0.04775,9.31925,2.66975,280.6325,101671.902,1.25175
1/4/2009 15:00,0.015,10.022,2.18775,280.93775,101670.758,1.24975
1/4/2009 16:00,0,22.38075,1.52475,279.1365,101666.638,1.2495
1/4/2009 17:00,0,345.883,0.822,276.256,101692.502,1.249
1/4/2009 18:00,0,346.9855,0.6885,276.297,101694.566,1.248
1/4/2009 19:00,0,307.74625,0.41775,276.8405,101721.572,1.24725
1/4/2009 20:00,0,214.5275,0.30775,277.16875,101776.736,1.24775
1/4/2009 21:00,0,229.5525,1.48875,277.425,101813.814,1.249
1/4/2009 22:00,0,218.0975,1.5965,277.869,101837.618,1.24875
1/4/2009 23:00,0.0015,198.826,1.918,277.7905,101836.016,1.24875
1/5/2009 0:00,0.06225,177.80025,2.8475,277.92025,101842.424,1.24925
1/5/2009 1:00,0.15075,175.77775,3.22525,277.999,101834.412,1.2495
1/5/2009 2:00,0.449,164.20175,3.635,278.12,101795.276,1.24925
1/5/2009 3:00,0.95175,156.67725,4.26125,278.30925,101786.122,1.25
1/5/2009 4:00,1.62175,161.7645,4.7965,278.3275,101771.24,1.25075
1/5/2009 5:00,1.80575,160.0065,4.94125,278.30625,101784.062,1.252
1/5/2009 6:00,1.95525,155.6665,5.0605,278.39475,101765.518,1.252
1/5/2009 7:00,2.7055,154.7055,5.53025,278.40925,101756.362,1.25275
1/5/2009 8:00,3.9445,153.47625,6.21325,278.414,101784.516,1.25475
1/5/2009 9:00,2.596,149.12675,5.4325,278.43275,101808.322,1.25425
1/5/2009 10:00,1.623,142.38625,4.7885,278.5375,101816.562,1.25775
1/5/2009 11:00,1.66325,145.04825,4.82,278.7235,101815.19,1.25825
1/5/2009 12:00,1.77475,140.03125,4.90375,278.816,101834.184,1.25925
1/5/2009 13:00,1.9795,147.8865,5.04575,278.7205,101801.456,1.2585
1/5/2009 14:00,0.6345,139.88975,3.847,278.56775,101742.86,1.26
1/5/2009 15:00,0.048,124.275,2.6675,278.68225,101729.812,1.259
1/5/2009 16:00,0.026,117.659,2.402,278.6295,101730.042,1.2585
1/5/2009 17:00,0,84.713,2.03125,278.48525,101744.69,1.25775
1/5/2009 18:00,0.02225,46.2305,2.35925,276.273,101752.472,1.256
1/5/2009 19:00,0.00875,11.43925,2.19825,275.96575,101759.57,1.25575
1/5/2009 20:00,0.083,179.5315,3.01,275.909,101805.346,1.25575
1/5/2009 21:00,0.0705,9.7295,2.94775,275.73975,101836.018,1.25525
1/5/2009 22:00,0.05825,6.8935,2.7935,275.45525,101855.016,1.25525
1/5/2009 23:00,0.085,350.94375,3.09775,275.383,101891.864,1.255
1/6/2009 0:00,0.1385,353.465,3.20225,274.89675,101911.774,1.2565
1/6/2009 1:00,0.13375,351.3435,3.19625,274.67125,101904.912,1.25575
1/6/2009 2:00,0.3365,353.472,3.4725,274.33125,101876.988,1.25775
1/6/2009 3:00,0.30625,340.76575,3.43175,274.4035,101859.134,1.257
1/6/2009 4:00,0.061,332.58625,2.82175,274.77975,101870.578,1.25625
1/6/2009 5:00,0.0385,318.915,2.5605,274.92025,101875.156,1.2555
1/6/2009 6:00,0.03475,303.15075,2.514,274.86075,101879.966,1.25575
1/6/2009 7:00,0.04275,287.94325,2.6135,274.805,101890.494,1.255
1/6/2009 8:00,0.05825,276.33175,2.798,275.31525,101929.864,1.254
1/6/2009 9:00,0.0945,274.466,2.817,278.026,101964.194,1.25425
1/6/2009 10:00,0,289.479,1.244,280.1695,101975.87,1.25525
1/6/2009 11:00,0,292.0015,0.9425,282.3225,101966.71,1.2485
1/6/2009 12:00,0,258.97025,1.09875,284.11625,101964.42,1.24125
1/6/2009 13:00,0,247.114,0.87075,285.3485,101924.368,1.235
1/6/2009 14:00,0,201.98675,0.65875,285.93575,101872.182,1.231
1/6/2009 15:00,0,159.7265,0.76875,286.22,101840.368,1.22875
1/6/2009 16:00,0,133.457,1.5115,285.691,101822.742,1.22875
1/6/2009 17:00,0.2055,130.51925,3.30875,282.20725,101852.954,1.232
1/6/2009 18:00,1.0185,130.18,4.33625,281.2015,101867.836,1.2335
1/6/2009 19:00,3.29775,151.52875,5.88725,280.815,101883.396,1.238
1/6/2009 20:00,1.566,149.83975,4.76725,279.81325,101922.308,1.23825
1/6/2009 21:00,1.66,163.23675,4.841,278.893,101953.666,1.23925
1/6/2009 22:00,0.3855,160.466,3.55875,278.68125,101973.804,1.23775
1/6/2009 23:00,0.27775,145.68125,3.40825,278.16525,101983.65,1.24
1/7/2009 0:00,0.84725,150.10875,4.16275,277.68525,102022.108,1.2445
1/7/2009 1:00,0.485,151.78625,3.68975,277.6325,102010.888,1.2435
1/7/2009 2:00,0.37975,147.373,3.54275,276.479,101985.482,1.2465
1/7/2009 3:00,0.06575,139.80725,2.895,276.17175,101965.34,1.2465
1/7/2009 4:00,0.057,126.90225,2.7895,275.85175,101953.436,1.24675
1/7/2009 5:00,0.0315,130.1995,2.48,275.53225,101979.99,1.2495
1/7/2009 6:00,0.0015,111.88775,1.941,275.24375,101956.414,1.24875
1/7/2009 7:00,0,125.84,1.84225,274.965,101953.664,1.2505
1/7/2009 8:00,0,115.66775,1.91525,275.40225,101973.806,1.24975
1/7/2009 9:00,0,117.98875,1.9185,278.283,101990.29,1.2505
1/7/2009 10:00,0,126.65825,1.25625,280.67,101987.084,1.251
1/7/2009 11:00,0,105.473,1.122,282.0425,101940.62,1.24825
1/7/2009 12:00,0,122.86025,1.29575,283.14475,101914.526,1.24325
1/7/2009 13:00,0,131.837,1.56875,284.10525,101882.254,1.239
1/7/2009 14:00,0,119.6955,1.8465,284.886,101801.226,1.23475
1/7/2009 15:00,0.00125,128.4475,1.95175,285.241,101757.052,1.23225
1/7/2009 16:00,0,114.64075,1.871,284.71975,101709.898,1.23175
1/7/2009 17:00,0.0185,116.4495,2.33175,281.487,101670.072,1.2305
1/7/2009 18:00,0,111.01125,2.23125,280.64775,101632.994,1.22975
1/7/2009 19:00,0.03575,130.69775,2.5455,280.11825,101608.274,1.22975
1/7/2009 20:00,0.02275,131.3665,2.38625,279.543,101591.792,1.23
1/7/2009 21:00,0.072,140.05875,2.98125,279.018,101584.696,1.23075
1/7/2009 22:00,0.06725,134.75475,2.9245,278.56325,101566.384,1.23175
1/7/2009 23:00,0.05025,138.3735,2.71725,278.097,101536.4,1.23275
