Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k),Surface air pressure (Pa),Density at hub height (kg/m^3)
1/1/2009 0:00,15.99975,188.6765,15.719375,263.968125,94552.529,1.231625
1/1/2009 1:00,16,191.594875,16.2395,264.35425,94433.968,1.228875
1/1/2009 2:00,16,194.9795,16.44475,264.8285,94349.851,1.226375
1/1/2009 3:00,15.999875,197.70825,16.069125,265.201375,94286.105,1.224
1/1/2009 4:00,15.998375,203.44575,15.38025,265.500625,94224.076,1.2225
1/1/2009 5:00,15.932125,207.485,13.677625,265.794625,94189.97,1.22075
1/1/2009 6:00,15.594125,207.693625,12.379625,265.924,94159.413,1.220125
1/1/2009 7:00,14.27475,215.372625,11.163,266.12575,94180.245,1.219125
1/1/2009 8:00,12.03975,218.306,10.029375,266.2745,94158.844,1.2175
1/1/2009 9:00,8.228875,231.5995,8.631375,266.466875,94167.426,1.214125
1/1/2009 10:00,5.157,253.258375,7.39525,268.05975,94197.638,1.209375
1/1/2009 11:00,3.981875,264.9575,6.839375,269.8805,94178.184,1.201625
1/1/2009 12:00,7.67625,295.3545,8.515125,272.982625,94170.974,1.191375
1/1/2009 13:00,11.087375,293.808125,9.70825,273.6865,94156.094,1.188
1/1/2009 14:00,14.870375,286.955375,11.376625,274.075125,94142.937,1.185625
1/1/2009 15:00,15.49625,282.283125,11.90725,273.6825,94180.583,1.186625
1/1/2009 16:00,14.345125,271.66525,11.03125,272.07075,94170.401,1.189375
1/1/2009 17:00,15.459625,268.580375,11.961875,269.85075,94190.776,1.19225
1/1/2009 18:00,13.656625,269.424125,10.642,268.39075,94227.853,1.194625
1/1/2009 19:00,15.866125,266.47975,12.83675,268.664875,94210.456,1.195125
1/1/2009 20:00,15.991875,285.14425,15.34475,269.096,94225.678,1.1965
1/1/2009 21:00,14.76025,285.71625,11.286625,268.58025,94230.372,1.2
1/1/2009 22:00,13.70975,315.532125,10.711375,267.040875,94305.672,1.214125
1/1/2009 23:00,10.568375,314.470125,9.432875,265.275875,94363.471,1.223375
1/2/2009 0:00,6.7785,323.161375,8.02,264.304,94412.338,1.229625
1/2/2009 1:00,7.67575,321.920125,8.36275,262.716125,94462.693,1.23925
1/2/2009 2:00,2.853125,315.89,6.0975,261.940375,94520.146,1.243375
1/2/2009 3:00,1.251375,332.076375,4.718375,261.50225,94560.429,1.246625
1/2/2009 4:00,0.76375,342.776,4.249125,261.15475,94584.461,1.249375
1/2/2009 5:00,0.617875,2.83275,4.04625,260.7225,94606.322,1.251875
1/2/2009 6:00,1.079625,25.485125,4.611125,260.58175,94619.023,1.25275
1/2/2009 7:00,0.307875,35.87625,3.52675,260.0905,94659.081,1.2555
1/2/2009 8:00,0.060625,68.523,2.8545,259.855125,94680.483,1.256625
1/2/2009 9:00,0.459375,69.0415,3.791375,259.77075,94680.253,1.2575
1/2/2009 10:00,0.692,76.20775,4.1645,260.441,94683.113,1.25525
1/2/2009 11:00,0.75075,86.027,4.248,261.5135,94670.871,1.250375
1/2/2009 12:00,1.4,89.523625,4.965375,262.7955,94622.686,1.244
1/2/2009 13:00,2.229125,95.442,5.675875,263.943625,94587.555,1.2385
1/2/2009 14:00,2.779,102.285625,6.09175,264.769375,94539.717,1.23375
1/2/2009 15:00,4.411125,105.581625,7.035875,265.137,94494.05,1.231
1/2/2009 16:00,5.50675,105.64725,7.561875,264.96875,94446.446,1.22975
1/2/2009 17:00,8.507625,104.036625,8.713,264.21775,94395.742,1.23125
1/2/2009 18:00,12.424375,108.294,10.05775,263.79775,94376.746,1.23275
1/2/2009 19:00,14.030625,113.3005,10.73625,263.531625,94366.561,1.233375
1/2/2009 20:00,14.934,115.892,11.282125,263.375125,94347.107,1.233375
1/2/2009 21:00,15.522125,117.43675,11.8505,263.306875,94297.781,1.2325
1/2/2009 22:00,15.766125,120.862,12.335,263.481375,94245.592,1.230625
1/2/2009 23:00,15.871375,123.370875,12.73175,263.714125,94196.496,1.228125
1/3/2009 0:00,15.822375,127.66,12.475,263.786625,94176.467,1.227375
1/3/2009 1:00,15.745125,130.14775,12.272875,263.854,94131.605,1.226125
1/3/2009 2:00,15.832,129.575,12.5395,263.986625,94091.321,1.225
1/3/2009 3:00,15.87275,131.817625,12.704125,263.875125,94084.685,1.225125
1/3/2009 4:00,14.8795,133.63175,11.3035,264.5425,94056.875,1.22325
1/3/2009 5:00,13.93775,130.15725,10.702375,265.24725,94044.399,1.221
1/3/2009 6:00,9.615375,129.09925,9.11775,265.673875,94094.871,1.22
1/3/2009 7:00,8.669,120.967,8.799125,265.84175,94135.269,1.22
1/3/2009 8:00,9.34325,116.903125,9.025375,265.9265,94163.31,1.220375
1/3/2009 9:00,7.602375,115.797625,8.428625,266.049625,94184.364,1.220375
1/3/2009 10:00,4.309625,113.489,7.002375,266.46075,94204.394,1.22
1/3/2009 11:00,1.4555,122.098625,5.061,266.81975,94229.799,1.218875
1/3/2009 12:00,0.059125,122.43425,2.864875,267.25325,94252.572,1.21725
1/3/2009 13:00,0.015,99.649125,2.28625,267.626125,94268.712,1.21575
1/3/2009 14:00,0.1,52.44425,1.41775,267.698375,94329.249,1.21625
1/3/2009 15:00,0.07575,343.09425,2.975,267.8075,94399.063,1.2165
1/3/2009 16:00,1.291375,348.47725,4.88475,267.607625,94461.205,1.21775
1/3/2009 17:00,7.478375,337.197375,8.38025,266.628625,94545.779,1.223625
1/3/2009 18:00,13.917125,333.61825,10.649,265.019375,94667.091,1.23275
1/3/2009 19:00,15.470875,331.843625,11.634,264.157125,94793.895,1.2385
1/3/2009 20:00,15.734375,335.729875,12.196875,263.753875,94906.509,1.241625
1/3/2009 21:00,15.692625,331.182375,12.081,262.217875,94998.179,1.249625
1/3/2009 22:00,15.6985,329.86725,12.081875,261.587,95078.29,1.2535
1/3/2009 23:00,15.521,324.76425,11.687,260.813375,95169.045,1.258375
1/4/2009 0:00,14.55975,325.375375,10.9575,259.662875,95282,1.2655
1/4/2009 1:00,13.902125,321.7795,10.54025,258.76225,95386.259,1.27125
1/4/2009 2:00,15.054125,323.283375,11.20075,257.808875,95476.672,1.277125
1/4/2009 3:00,14.9745,318.998125,11.1565,256.9995,95564.68,1.282375
1/4/2009 4:00,13.606,316.160875,10.3785,256.25575,95638.609,1.287125
1/4/2009 5:00,10.868,314.1015,9.366875,255.645125,95717.004,1.291125
1/4/2009 6:00,10.1815,310.353375,9.126375,255.025125,95795.284,1.29525
1/4/2009 7:00,12.3855,306.811625,9.877,254.854625,95867.957,1.29625
1/4/2009 8:00,11.66625,303.97275,9.621625,254.4115,95920.948,1.299125
1/4/2009 9:00,8.524125,302.57325,8.56575,254.688625,95956.307,1.2995
1/4/2009 10:00,5.9825,293.66225,7.62525,255.8025,95974.506,1.2955
1/4/2009 11:00,3.990625,284.3825,6.704375,257.15375,96000.712,1.289625
1/4/2009 12:00,4.167,276.893625,6.813125,258.937625,95990.414,1.28125
1/4/2009 13:00,5.316625,269.058625,7.39375,260.750875,95975.077,1.272125
1/4/2009 14:00,7.38175,264.249125,8.240375,261.826625,95962.717,1.2665
1/4/2009 15:00,9.572375,260.857125,9.000125,262.353875,95937.197,1.2625
1/4/2009 16:00,12.053625,255.139125,9.852375,262.092125,95891.533,1.260875
1/4/2009 17:00,14.695125,246.198875,11.12075,261.206375,95857.543,1.260375
1/4/2009 18:00,15.69,245.681125,12.1345,261.0915,95840.832,1.258875
1/4/2009 19:00,15.871,241.7,12.748375,261.253125,95839.46,1.256375
1/4/2009 20:00,15.955375,243.46275,13.326,261.36625,95817.716,1.253
1/4/2009 21:00,15.9295,245.233,13.0825,261.267,95755.114,1.249125
1/4/2009 22:00,15.9415,246.664375,13.200125,261.37525,95695.144,1.2445
1/4/2009 23:00,15.820875,246.684875,12.531875,261.059125,95653.375,1.24375
1/5/2009 0:00,15.567125,247.667,12.026,260.703125,95612.516,1.2405
1/5/2009 1:00,15.668875,242.45525,12.127625,260.400625,95562.963,1.236875
1/5/2009 2:00,15.9155,236.22175,12.95575,260.610125,95506.197,1.236375
1/5/2009 3:00,15.968375,235.314,13.448625,260.638375,95436.846,1.23575
1/5/2009 4:00,15.95225,232.150375,13.303125,260.6355,95356.277,1.23475
1/5/2009 5:00,15.92175,230.59025,13.111375,260.5885,95272.616,1.23425
1/5/2009 6:00,15.961625,229.08525,13.3655,260.690125,95199.829,1.2345
1/5/2009 7:00,15.991875,229.720125,14.161875,260.80575,95111.707,1.233625
1/5/2009 8:00,15.8955,225.158,12.839,260.240375,95024.959,1.23575
1/5/2009 9:00,13.559125,214.546,10.60975,261.320125,94966.476,1.239
1/5/2009 10:00,14.65975,220.260875,11.154625,263.916,94877.782,1.233
1/5/2009 11:00,10.601125,213.132625,9.436625,266.29875,94781.078,1.227375
1/5/2009 12:00,9.144375,209.5845,8.9595,267.885,94652.902,1.220375
1/5/2009 13:00,10.520625,204.6575,9.44475,269.320375,94532.047,1.2125
1/5/2009 14:00,11.56975,199.62375,9.82425,270.0375,94410.166,1.207375
1/5/2009 15:00,13.592125,199.77275,10.6,270.058875,94300.87,1.204375
1/5/2009 16:00,15.557,197.315875,11.936625,269.05375,94180.473,1.203125
1/5/2009 17:00,15.998625,193.454,14.770375,267.88675,94088.691,1.202875
1/5/2009 18:00,16,191.744875,16.102,267.424375,94034.443,1.205125
1/5/2009 19:00,16,192.984375,16.585625,266.861125,93981.568,1.207625
1/5/2009 20:00,16,196.38,17.313625,266.60625,93925.378,1.20775
1/5/2009 21:00,16,194.716125,17.481625,266.245,93842.633,1.2085
1/5/2009 22:00,16,194.183375,16.718,265.8495,93779.459,1.209875
1/5/2009 23:00,16,192.131875,15.842375,265.262625,93733.224,1.211375
1/6/2009 0:00,16,190.48775,15.858625,265.00225,93667.533,1.211625
1/6/2009 1:00,16,190.165,16.023125,265.012125,93595.435,1.2115
1/6/2009 2:00,16,188.807625,15.508125,264.4965,93559.156,1.212375
1/6/2009 3:00,15.999125,190.63075,14.827,264.125125,93520.243,1.21325
1/6/2009 4:00,15.98825,193.402875,13.90225,263.642375,93470.23,1.213875
1/6/2009 5:00,15.963625,198.723,13.640125,263.711125,93418.616,1.213625
1/6/2009 6:00,15.873375,209.85325,12.9725,264.010625,93390.805,1.21475
1/6/2009 7:00,13.688375,221.26275,10.6035,263.664875,93396.074,1.216625
1/6/2009 8:00,10.831,238.465,9.54525,262.311,93395.616,1.216
1/6/2009 9:00,5.207625,261.819375,7.417,263.08325,93379.248,1.218625
1/6/2009 10:00,5.793125,275.27775,7.679375,264.61475,93370.436,1.21575
1/6/2009 11:00,4.024125,275.0205,6.83675,266.47725,93365.858,1.209625
1/6/2009 12:00,2.533,277.133875,5.9605,268.09625,93353.954,1.20275
1/6/2009 13:00,3.091875,279.940375,6.355625,269.389375,93344.34,1.197125
1/6/2009 14:00,2.138625,287.813875,5.677375,270.200875,93374.214,1.193625
1/6/2009 15:00,2.004375,292.48125,5.57675,270.19425,93394.355,1.19325
1/6/2009 16:00,3.232875,291.6175,6.443875,269.17,93409.003,1.1945
1/6/2009 17:00,11.151625,292.929,9.702125,267.593,93445.052,1.198375
1/6/2009 18:00,13.096625,301.041625,10.378,266.373875,93476.868,1.205375
1/6/2009 19:00,14.058125,311.471,10.815625,265.59325,93517.382,1.21
1/6/2009 20:00,14.66,324.591375,11.157625,265.164375,93525.396,1.210625
1/6/2009 21:00,14.109,327.69175,10.8805,265.06425,93482.476,1.21225
1/6/2009 22:00,11.001625,331.877625,9.598,264.0085,93460.733,1.217625
1/6/2009 23:00,9.608375,331.602375,9.10925,262.977125,93439.674,1.223375
1/7/2009 0:00,11.110625,330.346625,9.61125,262.07325,93437.157,1.22825
1/7/2009 1:00,8.074125,328.8225,8.540125,261.30425,93435.327,1.23175
1/7/2009 2:00,10.575625,327.725,9.40875,260.48775,93436.127,1.236
1/7/2009 3:00,8.40725,325.9615,8.665625,259.888,93445.512,1.23875
1/7/2009 4:00,6.780125,321.079,8.048,259.391,93433.381,1.24075
1/7/2009 5:00,7.218,318.231125,8.206875,258.79975,93438.186,1.243625
1/7/2009 6:00,6.966625,319.75625,8.10725,258.229,93453.408,1.246625
1/7/2009 7:00,6.4635,319.2095,7.899625,257.697375,93466.112,1.24925
1/7/2009 8:00,7.193875,316.228625,8.180625,257.175625,93464.624,1.252125
1/7/2009 9:00,5.3635,316.196625,7.450125,257.340125,93482.135,1.25325
1/7/2009 10:00,4.926625,316.04125,7.254875,258.181125,93518.297,1.251125
