Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k),Surface air pressure (Pa),Density at hub height (kg/m^3)
1/1/2009 0:00,16,317.2112,22.2168,271.4788,100316.1712,1.286
1/1/2009 1:00,16,315.9462,21.0908,270.7968,100440.6864,1.2908
1/1/2009 2:00,16,315.773,20.9154,270.553,100538.6528,1.2934
1/1/2009 3:00,16,317.1912,20.8936,270.0614,100648.1536,1.2974
1/1/2009 4:00,16,319.2234,20.658,269.6396,100790.6112,1.3016
1/1/2009 5:00,16,319.0688,20.9602,269.4404,100912.9312,1.3044
1/1/2009 6:00,16,318.5412,20.956,269.2848,101043.856,1.3068
1/1/2009 7:00,16,316.564,20.5646,269.0692,101172.032,1.3096
1/1/2009 8:00,16,315.8674,21.0972,268.9748,101266.152,1.3116
1/1/2009 9:00,16,315.5364,20.669,268.9486,101366.8656,1.3128
1/1/2009 10:00,16,315.8396,21.097,269.0206,101413.7424,1.3134
1/1/2009 11:00,16,314.2206,20.527,269.1896,101467.2096,1.3126
1/1/2009 12:00,16,312.5548,20.3952,269.3152,101502.184,1.3124
1/1/2009 13:00,16,311.501,20.14,269.7534,101550.5232,1.3104
1/1/2009 14:00,16,309.3014,19.7724,270.1796,101590.8096,1.3084
1/1/2009 15:00,16,308.0878,19.6994,270.9816,101635.1184,1.3046
1/1/2009 16:00,16,309.2678,20.6146,271.5406,101659.8384,1.3022
1/1/2009 17:00,16,311.2452,21.1812,271.9466,101755.24,1.3014
1/1/2009 18:00,16,312.3152,21.39,272.1406,101827.2032,1.3014
1/1/2009 19:00,16,311.5044,20.111,272.1188,101890.1952,1.3018
1/1/2009 20:00,16,315.5332,19.507,272.1566,101927.912,1.3018
1/1/2009 21:00,16,315.5408,18.7434,272.3544,101963.072,1.3008
1/1/2009 22:00,16,314.5622,17.3756,272.4424,101994.2032,1.3002
1/1/2009 23:00,16,313.6666,16.372,272.46,101971.4992,1.2994
1/2/2009 0:00,16,310.6168,15.0602,272.5356,102000.792,1.2988
1/2/2009 1:00,15.9342,310.2342,14.2454,272.6492,101992.9184,1.2978
1/2/2009 2:00,15.6164,308.0106,13.3636,272.8162,102010.4976,1.2968
1/2/2009 3:00,14.8428,307.8404,12.5602,272.9764,101988.3392,1.2952
1/2/2009 4:00,13.0894,305.988,11.403,273.1174,101993.6528,1.2942
1/2/2009 5:00,9.0836,302.402,9.7676,273.304,101998.96,1.2926
1/2/2009 6:00,5.529,298.831,8.2782,273.6448,101981.0176,1.29
1/2/2009 7:00,2.9258,291.257,6.7404,274.1008,101948.0576,1.2868
1/2/2009 8:00,1.6872,269.5014,5.6944,274.3498,101907.04,1.2848
1/2/2009 9:00,1.9988,255.7318,6.0218,275.2982,101830.8672,1.279
1/2/2009 10:00,2.7064,241.7588,6.605,276.2418,101725.3952,1.273
1/2/2009 11:00,3.5706,230.9184,7.244,277.1312,101605.824,1.267
1/2/2009 12:00,5.5646,223.897,8.3654,278.2506,101448.3488,1.26
1/2/2009 13:00,3.8264,217.555,7.4068,278.751,101299.4816,1.255
1/2/2009 14:00,12.6814,232.7916,11.3816,280.2404,101164.344,1.246
1/2/2009 15:00,10.075,247.0742,10.2714,280.0754,101024.0832,1.245
1/2/2009 16:00,16,247.5226,15.7582,280.2966,100948.6368,1.243
1/2/2009 17:00,16,256.7922,15.236,279.8808,100900.6624,1.245
1/2/2009 18:00,15.8494,256.083,14.1656,279.6214,100859.6432,1.246
1/2/2009 19:00,16,260.5976,15.534,279.0672,100815.3328,1.2484
1/2/2009 20:00,14.5626,267.2872,12.4774,279.2198,100763.3248,1.2468
1/2/2009 21:00,14.2432,267.5664,12.2852,279.666,100707.8464,1.2434
1/2/2009 22:00,15.9468,281.4666,14.4848,279.338,100666.2832,1.245
1/2/2009 23:00,15.7956,286.934,13.9788,278.5014,100650.352,1.2492
1/3/2009 0:00,13.6028,287.5988,11.856,278.2184,100627.6464,1.2504
1/3/2009 1:00,10.2614,286.4768,10.3318,278.1906,100561.7232,1.2494
1/3/2009 2:00,12.4236,278.7266,11.245,278.582,100526.0176,1.247
1/3/2009 3:00,15.8102,281.1372,14.035,278.6642,100522.7232,1.247
1/3/2009 4:00,15.3904,287.6558,13.2836,277.927,100564.8352,1.2512
1/3/2009 5:00,15.5038,293.5102,13.3978,277.0352,100645.04,1.257
1/3/2009 6:00,15.957,301.3614,14.4658,277.0506,100732.9312,1.2582
1/3/2009 7:00,16,291.3868,15.442,276.6824,100784.3856,1.261
1/3/2009 8:00,16,297.8106,16.5328,276.649,100856.8992,1.2624
1/3/2009 9:00,16,300.6914,16.6602,276.3956,100943.512,1.265
1/3/2009 10:00,16,297.5646,16.001,276.2448,100972.0736,1.266
1/3/2009 11:00,16,297.5306,15.2474,276.2474,100984.3456,1.266
1/3/2009 12:00,16,296.1308,15.3118,276.2424,100997.344,1.266
1/3/2009 13:00,16,294.1852,16.7218,276.2602,101018.2208,1.2668
1/3/2009 14:00,16,291.757,16.8572,276.1624,101037.264,1.2674
1/3/2009 15:00,16,292.026,17.0642,276.191,101048.616,1.2674
1/3/2009 16:00,16,291.9034,17.3548,276.1778,101095.496,1.268
1/3/2009 17:00,16,293.8552,18.0164,276.1064,101148.7808,1.2692
1/3/2009 18:00,16,293.35,18.3606,275.947,101193.0896,1.271
1/3/2009 19:00,16,294.2124,18.7972,275.82,101225.8672,1.272
1/3/2009 20:00,16,295.8054,18.7634,275.5372,101258.4624,1.274
1/3/2009 21:00,16,296.6506,19.0722,275.1944,101278.7888,1.276
1/3/2009 22:00,16,298.2898,18.4382,274.747,101274.944,1.2782
1/3/2009 23:00,16,299.472,17.707,274.3466,101283.9136,1.2806
1/4/2009 0:00,16,301.2592,17.0858,274.0928,101288.312,1.282
1/4/2009 1:00,16,297.2998,17.4682,273.9778,101272.56,1.2822
1/4/2009 2:00,16,298.2172,17.5284,273.7592,101286.6624,1.2838
1/4/2009 3:00,16,298.2984,17.1222,273.6794,101306.0704,1.2842
1/4/2009 4:00,16,298.5478,16.4998,273.7778,101331.704,1.284
1/4/2009 5:00,16,298.7292,16.2642,273.903,101364.6656,1.2836
1/4/2009 6:00,16,299.5818,15.8814,274.0842,101399.272,1.283
1/4/2009 7:00,16,303.5872,15.7592,274.3802,101415.7536,1.2814
1/4/2009 8:00,16,305.601,15.4186,274.532,101463.7296,1.281
1/4/2009 9:00,16,306.1714,14.8412,274.4888,101508.7744,1.2818
1/4/2009 10:00,15.526,306.001,13.3184,274.3204,101500.536,1.282
1/4/2009 11:00,14.371,307.2492,12.2424,274.3136,101493.576,1.2818
1/4/2009 12:00,11.868,306.7726,10.9106,274.501,101494.6768,1.2802
1/4/2009 13:00,8.2032,305.408,9.4688,274.6982,101523.0544,1.279
1/4/2009 14:00,6.6846,303.724,8.823,275.0078,101540.6368,1.2778
1/4/2009 15:00,6.5106,305.0188,8.7498,275.3604,101560.2304,1.276
1/4/2009 16:00,6.4068,302.1624,8.7076,275.7942,101603.624,1.274
1/4/2009 17:00,5.732,304.0642,8.4104,276.117,101642.2624,1.273
1/4/2009 18:00,5.2776,308.528,8.187,276.3742,101672.4768,1.272
1/4/2009 19:00,4.2282,307.7454,7.61,276.6606,101704.8896,1.271
1/4/2009 20:00,2.8916,310.576,6.7442,276.699,101728.1408,1.2708
1/4/2009 21:00,1.719,303.1436,5.7486,276.7718,101752.3152,1.27
1/4/2009 22:00,1.1268,293.893,5.1194,276.835,101714.776,1.2692
1/4/2009 23:00,0.5204,286.0364,4.2624,276.9308,101679.984,1.268
1/5/2009 0:00,0.439,273.6762,4.1392,277.1198,101641.7136,1.267
1/5/2009 1:00,0.4538,257.2028,4.166,277.3946,101611.864,1.265
1/5/2009 2:00,0.6796,244.6702,4.4942,277.7412,101565.9072,1.263
1/5/2009 3:00,1.8474,237.396,5.8956,278.2136,101534.2256,1.26
1/5/2009 4:00,2.4894,236.5678,6.4738,278.7332,101515.3664,1.2574
1/5/2009 5:00,3.5858,234.5054,7.2788,279.2714,101492.1136,1.2544
1/5/2009 6:00,3.9992,230.3942,7.5224,279.7456,101457.6848,1.2514
1/5/2009 7:00,6.687,232.185,8.8962,280.3854,101408.0624,1.247
1/5/2009 8:00,9.629,240.0502,10.1004,280.6308,101373.0896,1.2442
1/5/2009 9:00,13.3882,243.5366,11.7438,280.6658,101349.2832,1.244
1/5/2009 10:00,11.856,249.7616,11.0118,280.6272,101301.4928,1.2436
1/5/2009 11:00,11.842,261.2172,11.0048,280.5212,101257.9136,1.2438
1/5/2009 12:00,11.9472,266.091,11.0466,280.3282,101235.2064,1.245
1/5/2009 13:00,12.2426,268.3148,11.168,280.0408,101221.4736,1.2468
1/5/2009 14:00,10.2348,268.2084,10.3208,279.7636,101217.0784,1.2482
1/5/2009 15:00,9.3284,274.351,9.9742,279.6666,101204.2576,1.2488
1/5/2009 16:00,10.4614,278.984,10.404,279.623,101246.56,1.2494
1/5/2009 17:00,8.7112,282.5974,9.7364,279.6544,101288.6752,1.25
1/5/2009 18:00,8.866,282.8932,9.793,279.6342,101349.2848,1.251
1/5/2009 19:00,10.6298,293.5676,10.468,279.461,101382.7968,1.252
1/5/2009 20:00,11.8918,298.6256,10.993,278.906,101434.7984,1.255
1/5/2009 21:00,11.0794,296.3066,10.6376,278.5296,101494.4928,1.258
1/5/2009 22:00,12.6606,301.6746,11.3034,278.0118,101508.2272,1.261
1/5/2009 23:00,11.102,303.4812,10.6332,277.706,101531.6656,1.263
1/6/2009 0:00,10.6438,309.651,10.433,277.3782,101560.0464,1.265
1/6/2009 1:00,11.0708,312.8338,10.6066,276.9364,101586.2304,1.268
1/6/2009 2:00,10.483,315.563,10.3552,276.5648,101636.2208,1.2702
1/6/2009 3:00,10.4478,323.6806,10.3356,276.1802,101669.1792,1.273
1/6/2009 4:00,10.2832,323.803,10.2674,275.942,101715.3248,1.2748
1/6/2009 5:00,8.1676,326.8274,9.4604,275.7182,101774.6512,1.2764
1/6/2009 6:00,6.0976,331.0738,8.563,275.5546,101825.7376,1.2778
1/6/2009 7:00,4.133,334.0028,7.5424,275.436,101860.3472,1.2786
1/6/2009 8:00,2.6612,340.7926,6.5616,275.3544,101892.7584,1.279
1/6/2009 9:00,1.5278,343.9566,5.5394,275.3294,101909.4208,1.279
1/6/2009 10:00,0.4724,341.4882,4.1786,275.2714,101906.6768,1.279
1/6/2009 11:00,0.279,338.266,3.7574,275.3216,101887.9952,1.2788
