Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k),Surface air pressure (Pa),Density at hub height (kg/m^3)
1/1/2009 0:00,15.99675,216.433875,14.655125,265.91675,92488.82,1.18525
1/1/2009 1:00,16,243.002,15.658875,267.47725,92423.929,1.177125
1/1/2009 2:00,15.996875,253.097375,14.645125,268.182125,92435.72,1.177375
1/1/2009 3:00,16,267.388125,16.331625,268.408875,92447.963,1.1805
1/1/2009 4:00,15.998625,277.133375,15.009125,267.391125,92492.826,1.185375
1/1/2009 5:00,15.996125,278.55075,14.61975,266.454625,92518.23,1.189375
1/1/2009 6:00,15.992125,279.846,14.09675,265.98375,92563.781,1.193375
1/1/2009 7:00,15.967125,290.548,13.670375,264.8255,92647.895,1.201125
1/1/2009 8:00,16,296.716,17.174625,262.644625,92743.343,1.21475
1/1/2009 9:00,16,294.096875,16.9115,260.236,92814.756,1.226625
1/1/2009 10:00,16,296.70375,18.562375,259.292375,92859.391,1.234
1/1/2009 11:00,16,295.60475,16.5245,258.644625,92929.084,1.239625
1/1/2009 12:00,15.997625,298.132125,14.4625,258.28675,92990.198,1.242875
1/1/2009 13:00,15.7165,299.691375,12.17,258.251,93080.949,1.244625
1/1/2009 14:00,15.312875,301.72075,11.554875,258.23225,93149.505,1.2455
1/1/2009 15:00,14.366625,301.898875,10.872125,257.962,93233.275,1.24675
1/1/2009 16:00,11.590125,301.56925,9.721625,257.20425,93261.203,1.248625
1/1/2009 17:00,14.13575,302.15025,10.743875,254.903625,93300.11,1.25075
1/1/2009 18:00,15.330625,306.11475,11.570875,255.311875,93351.385,1.25325
1/1/2009 19:00,15.814375,317.929625,12.32975,255.37425,93381.139,1.254375
1/1/2009 20:00,14.817125,328.12675,11.116125,254.865125,93391.669,1.255875
1/1/2009 21:00,11.425125,342.274125,9.637875,253.858875,93398.535,1.258625
1/1/2009 22:00,8.611125,352.943,8.68925,253.23475,93381.826,1.259
1/1/2009 23:00,3.269,224.284375,6.363875,252.34825,93424.969,1.263
1/2/2009 0:00,0.6465,352.10975,4.096375,252.296125,93449.802,1.265875
1/2/2009 1:00,0.0325,338.98575,2.495125,253.660125,93474.526,1.26725
1/2/2009 2:00,0,308.438,1.5095,253.854,93470.633,1.266875
1/2/2009 3:00,0,31.495125,1.404625,254.07375,93470.634,1.2665
1/2/2009 4:00,0,118.26925,1.541875,254.197625,93480.362,1.266875
1/2/2009 5:00,0.045,123.402375,2.652625,254.563125,93469.26,1.264625
1/2/2009 6:00,0.13,130.43475,3.1695,254.840125,93472.463,1.264
1/2/2009 7:00,0.304125,137.786125,3.514625,255.369125,93464.451,1.262125
1/2/2009 8:00,0.692875,128.633,4.1505,255.669125,93429.317,1.260375
1/2/2009 9:00,1.185,120.809875,4.7165,255.832,93393.954,1.259125
1/2/2009 10:00,1.8835,125.981,5.383125,256.25175,93381.366,1.25725
1/2/2009 11:00,2.700125,124.469375,6.0035,257.0375,93344.745,1.253375
1/2/2009 12:00,3.454,123.643,6.48325,257.877,93280.77,1.249
1/2/2009 13:00,4.62825,121.4175,7.12075,258.329,93214.622,1.2455
1/2/2009 14:00,5.571375,116.90725,7.557125,258.6315,93151.791,1.242875
1/2/2009 15:00,9.345,112.907,8.9735,258.416625,93098.231,1.24225
1/2/2009 16:00,14.075,110.015125,10.709375,257.935625,93041.923,1.243875
1/2/2009 17:00,15.191125,109.975625,11.488625,257.518,92988.02,1.244875
1/2/2009 18:00,15.201125,115.22075,11.532875,257.492125,92990.422,1.245
1/2/2009 19:00,15.89175,114.592375,12.741875,257.4355,92937.319,1.24475
1/2/2009 20:00,15.71075,120.18525,12.157875,257.583,92961.928,1.244125
1/2/2009 21:00,15.2095,117.83925,11.4585,257.54825,92957.463,1.244375
1/2/2009 22:00,7.654125,117.172375,8.391875,257.7875,93025.902,1.2445
1/2/2009 23:00,7.042875,108.363375,8.1575,256.96375,93075.458,1.246
1/3/2009 0:00,10.97125,106.3175,9.513875,255.613875,93118.143,1.24775
1/3/2009 1:00,9.762875,105.13875,9.09225,253.824625,93169.642,1.24975
1/3/2009 2:00,7.92075,106.961875,8.447875,254.823375,93253.306,1.25075
1/3/2009 3:00,4.27725,116.81175,6.926875,256.4275,93323.801,1.250875
1/3/2009 4:00,1.63575,114.39975,5.19075,256.1225,93386.286,1.250875
1/3/2009 5:00,0.42925,114.941,3.647875,256.32925,93447.971,1.249375
1/3/2009 6:00,0,48.803375,1.542875,257.039,93520.759,1.250625
1/3/2009 7:00,0.119375,341.709125,3.15925,257.185875,93607.966,1.252375
1/3/2009 8:00,1.608,322.523375,5.173875,257.2555,93692.999,1.255625
1/3/2009 9:00,2.465625,317.832,5.823625,257.185,93756.399,1.256875
1/3/2009 10:00,2.63875,313.842625,5.95,257.30675,93851.847,1.25825
1/3/2009 11:00,6.2235,312.1655,7.797,257.557375,93916.165,1.2585
1/3/2009 12:00,9.100875,314.244375,8.848625,257.436,93963.087,1.26025
1/3/2009 13:00,10.26375,316.024875,9.23,257.13175,94046.746,1.26325
