Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k),Surface air pressure (Pa),Density at hub height (kg/m^3)
1/1/2009 0:00,16,192.461625,17.686875,264.033875,93816.109,1.222625
1/1/2009 1:00,16,194.854,17.175625,264.47325,93711.504,1.219625
1/1/2009 2:00,15.999,198.21925,16.2905,264.930875,93648.331,1.216875
1/1/2009 3:00,15.986375,201.13525,15.063,265.1375,93614.457,1.21575
1/1/2009 4:00,15.903625,205.53975,13.767625,265.35525,93592.254,1.2145
1/1/2009 5:00,15.524375,208.155875,12.6615,265.624125,93550.939,1.212625
1/1/2009 6:00,14.8105,216.767375,11.72,265.86425,93555.748,1.21125
1/1/2009 7:00,14.798125,229.6405,11.618125,266.140375,93547.964,1.20875
1/1/2009 8:00,13.25175,241.446375,10.745625,266.394875,93569.366,1.205875
1/1/2009 9:00,13.36475,262.27525,11.070625,267.168125,93586.53,1.200875
1/1/2009 10:00,15.33625,283.712375,12.188375,269.758375,93608.962,1.19425
1/1/2009 11:00,15.825375,298.45075,13.092875,271.385625,93612.625,1.1895
1/1/2009 12:00,14.4195,291.069625,11.27875,272.49625,93617.546,1.186375
1/1/2009 13:00,14.94225,285.608125,11.483,272.63775,93618.349,1.185875
1/1/2009 14:00,15.124125,280.093,11.586125,272.53325,93623.269,1.186375
1/1/2009 15:00,14.91,273.417125,11.452625,272.235625,93620.753,1.186375
1/1/2009 16:00,15.104,262.621125,11.653625,271.1295,93604.73,1.18675
1/1/2009 17:00,15.909875,261.6735,13.15725,269.461375,93614.685,1.188625
1/1/2009 18:00,15.9715,260.627875,13.58675,269.24825,93608.618,1.19075
1/1/2009 19:00,15.68125,281.246375,12.9965,269.204,93649.017,1.19225
1/1/2009 20:00,14.84225,302.988625,11.29775,267.079375,93702.12,1.20125
1/1/2009 21:00,14.92625,314.529625,11.308875,265.209125,93752.246,1.217125
1/1/2009 22:00,11.1615,309.299625,9.68725,263.314,93807.067,1.22925
1/1/2009 23:00,9.655375,306.019625,9.091375,261.574875,93840.828,1.237
1/2/2009 0:00,6.62075,310.85175,7.987875,260.737375,93912.126,1.242125
1/2/2009 1:00,5.419125,317.035125,7.48275,259.726,93939.021,1.2475
