Date,Power,Wind direction at 100m (deg),Wind speed at 100m (m/s),Air Temperature at 2m (k),Surface air pressure (Pa),Density at hub height (kg/m^3)
1/1/2009 0:00,14.8394,191.818,12.713,282.0702,102093.992,1.25
1/1/2009 1:00,15.9908,190.5698,14.715,282.0474,102017.8128,1.2494
1/1/2009 2:00,16,190.7046,16.9434,282.0554,101927.1744,1.2484
1/1/2009 3:00,16,188.3482,19.0424,281.9866,101862.9024,1.248
1/1/2009 4:00,16,187.3484,20.1564,281.9762,101802.1088,1.2474
1/1/2009 5:00,16,185.1916,21.0322,281.915,101772.0784,1.2474
1/1/2009 6:00,16,184.3524,21.0654,281.9248,101738.9344,1.2468
1/1/2009 7:00,16,184.1414,21.1004,281.9402,101713.3024,1.2464
1/1/2009 8:00,16,182.5354,21.2142,281.931,101685.6528,1.2462
1/1/2009 9:00,16,183.88,20.7504,282.0252,101677.0416,1.2454
1/1/2009 10:00,16,183.0572,20.599,282.0958,101670.272,1.2448
1/1/2009 11:00,16,183.1702,19.9816,282.185,101648.4784,1.2438
1/1/2009 12:00,16,183.4758,19.4304,282.318,101600.3216,1.2426
1/1/2009 13:00,16,184.7294,19.2652,282.434,101553.9936,1.241
1/1/2009 14:00,16,185.7114,18.3258,282.4846,101462.0736,1.2396
1/1/2009 15:00,16,186.5312,18.1824,282.694,101372.3472,1.2372
1/1/2009 16:00,16,188.0408,18.0548,282.9442,101268.7104,1.2344
1/1/2009 17:00,16,193.2382,18.7876,283.275,101188.1408,1.2314
1/1/2009 18:00,16,196.4366,19.0118,283.46,101090.904,1.229
1/1/2009 19:00,16,197.211,19.8104,283.4716,100962.1792,1.2276
1/1/2009 20:00,16,193.9128,20.5408,283.5532,100870.8048,1.2258
1/1/2009 21:00,16,188.5844,21.6162,283.5644,100747.024,1.2244
1/1/2009 22:00,16,188.3812,22.5766,283.532,100599.8048,1.2228
1/1/2009 23:00,16,189.7866,25.1016,283.5596,100435.552,1.2206
1/2/2009 0:00,0,192.8722,25.7006,283.7312,100239.6208,1.2168
1/2/2009 1:00,0,198.0596,23.706,283.8532,100246.7616,1.2162
1/2/2009 2:00,0,223.6656,23.1252,284.1248,100251.52,1.2144
